Kode_Okupasi,Okupasi,Kode_Unit_Kompetensi,Judul_Unit_Kompetensi,Status_UK,Referensi
TIK.DEV0703,MANAJER PERANGKAT LUNAK SISTEM (SYSTEMS SOFTWARE MANAGER),J.62SQA00.003.1,Menentukan Lingkup Quality Assurance untuk Proses Pengembangan Perangkat Lunak,Berlaku,Nomor 47 Tahun 2017
TIK.DEV0703,MANAJER PERANGKAT LUNAK SISTEM (SYSTEMS SOFTWARE MANAGER),J.62SQA00.006.1,Mengintegrasikan Penjaminan Kualitas ke Dalam Organisasi Pengembang,Berlaku,Nomor 47 Tahun 2017
TIK.DEV0703,MANAJER PERANGKAT LUNAK SISTEM (SYSTEMS SOFTWARE MANAGER),BSBSMB407,Manage a Small Team (Mengelola Tim Kecil),Berlaku,Nomor 22 Tahun 2019
TIK.DEV0703,MANAJER PERANGKAT LUNAK SISTEM (SYSTEMS SOFTWARE MANAGER),ICAPMG501A,Manage IT Projects (Mengelola Proyek TI),Berlaku,Nomor 22 Tahun 2019
TIK.DEV0703,MANAJER PERANGKAT LUNAK SISTEM (SYSTEMS SOFTWARE MANAGER),J.620100.016.01,Menulis Kode dengan Prinsip sesuai Guidelines dan Best Practices,Berlaku,Nomor 282 Tahun 2016
TIK.DEV0703,MANAJER PERANGKAT LUNAK SISTEM (SYSTEMS SOFTWARE MANAGER),J.620100.042.01,"Melakukan Konfigurasi Perangkat Lunak Sesuai Environment (Development, Staging, Production)",Berlaku,Nomor 282 Tahun 2016
TIK.DEV0703,MANAJER PERANGKAT LUNAK SISTEM (SYSTEMS SOFTWARE MANAGER),J.620100.043.01,Menganalisis Dampak Perubahan Terhadap Aplikasi,Berlaku,Nomor 282 Tahun 2016
TIK.DEV0703,MANAJER PERANGKAT LUNAK SISTEM (SYSTEMS SOFTWARE MANAGER),BSBMGT608C,Manage Innovation and Continuous Improvement (Mengelola Inovasi dan Peningkatan Berkelanjutan),Berlaku,Nomor 22 Tahun 2019
TIK.DEV0703,MANAJER PERANGKAT LUNAK SISTEM (SYSTEMS SOFTWARE MANAGER),BSBIPR301A,Comply with Organisational Requirements for Protection and Use of Intellectual Property (Mematuhi Persyaratan Organisasi untuk Perlindungan dan Penggunaan Kekayaan Intelektual),Berlaku,Nomor 22 Tahun 2019
TIK.DEV0704,MANAJER APLIKASI AUTOMASI PERKANTORAN (OFFICE AUTOMATION APPLICATIONS MANAGER),BSBMGT608C,Manage Innovation and Continuous Improvement (Mengelola Inovasi dan Peningkatan Berkelanjutan),Berlaku,Nomor 22 Tahun 2019
TIK.DEV0704,MANAJER APLIKASI AUTOMASI PERKANTORAN (OFFICE AUTOMATION APPLICATIONS MANAGER),ICAICT401A,Determine and Confirm Client Business Requirements (Menentukan dan Konfirmasikan Persyaratan Bisnis Klien),Berlaku,Nomor 22 Tahun 2019
TIK.DEV0704,MANAJER APLIKASI AUTOMASI PERKANTORAN (OFFICE AUTOMATION APPLICATIONS MANAGER),BSBIPR301A,Comply with Organisational Requirements for Protection and Use of Intellectual Property (Mematuhi Persyaratan Organisasi untuk Perlindungan dan Penggunaan Kekayaan Intelektual),Berlaku,Nomor 22 Tahun 2019
TIK.DEV0704,MANAJER APLIKASI AUTOMASI PERKANTORAN (OFFICE AUTOMATION APPLICATIONS MANAGER),BSBSUS501A,Develop Workplace Policy and Procedures for Sustainability (Mengembangkan Kebijakan dan Prosedur di Tempat Kerja untuk Keberlanjutan),Berlaku,Nomor 22 Tahun 2019
TIK.DEV0704,MANAJER APLIKASI AUTOMASI PERKANTORAN (OFFICE AUTOMATION APPLICATIONS MANAGER),ICAICT103A,"Use, Communicate and Search Securely On The Internet (Menggunakan, Mengkomunikasikan dan Mencari Dengan Aman di Internet)",Berlaku,Nomor 22 Tahun 2019
TIK.DEV0704,MANAJER APLIKASI AUTOMASI PERKANTORAN (OFFICE AUTOMATION APPLICATIONS MANAGER),ICAICT104A,Use Digital Devices (Menggunakan Perangkat Digital),Berlaku,Nomor 22 Tahun 2019
TIK.DEV0704,MANAJER APLIKASI AUTOMASI PERKANTORAN (OFFICE AUTOMATION APPLICATIONS MANAGER),ICAICT107A,Use Personal Productivity Tools (Menggunakan Alat Produktivitas Pribadi),Berlaku,Nomor 22 Tahun 2019
TIK.DEV0704,MANAJER APLIKASI AUTOMASI PERKANTORAN (OFFICE AUTOMATION APPLICATIONS MANAGER),ICAICT201A,Use Computer Operating Systems and Hardware (Menggunakan Sistem Operasi Komputer Dan Perangkat Keras),Berlaku,Nomor 22 Tahun 2019
TIK.DEV0705,MANAJER PEMROGRAMAN APLIKASI (APPLICATIONS PROGRAMMING MANAGER),BSBMGT608C,Manage Innovation and Continuous Improvement (Mengelola Inovasi dan Peningkatan Berkelanjutan),Berlaku,Nomor 22 Tahun 2019
TIK.DEV0705,MANAJER PEMROGRAMAN APLIKASI (APPLICATIONS PROGRAMMING MANAGER),ICAPMG603A,Manage IT Project Planning (Mengelola Perencanaan Proyek TI),Berlaku,Nomor 22 Tahun 2019
TIK.DEV0705,MANAJER PEMROGRAMAN APLIKASI (APPLICATIONS PROGRAMMING MANAGER),ICADBS602A,Develop a Knowledge Management Strategy (Mengembangkan Strategi Manajemen Pengetahuan),Berlaku,Nomor 22 Tahun 2019
TIK.DEV0705,MANAJER PEMROGRAMAN APLIKASI (APPLICATIONS PROGRAMMING MANAGER),ICAICT401A,Determine and Confirm Client Business Requirements (Menentukan dan Konfirmasikan Persyaratan Bisnis Klien),Berlaku,Nomor 22 Tahun 2019
TIK.DEV0705,MANAJER PEMROGRAMAN APLIKASI (APPLICATIONS PROGRAMMING MANAGER),BSBSUS501A,Develop Workplace Policy and Procedures for Sustainability (Mengembangkan Kebijakan dan Prosedur di Tempat Kerja untuk Keberlanjutan),Berlaku,Nomor 22 Tahun 2019
TIK.DEV0705,MANAJER PEMROGRAMAN APLIKASI (APPLICATIONS PROGRAMMING MANAGER),J.620100.015.01,"Menyusun Fungsi, File atau Sumber Daya Pemrograman yang Lain dalam Organisasi yang Rapi",Berlaku,Nomor 282 Tahun 2016
TIK.DEV0705,MANAJER PEMROGRAMAN APLIKASI (APPLICATIONS PROGRAMMING MANAGER),J.620100.030.02,Menerapkan Pemrograman Multimedia,Berlaku,Nomor 282 Tahun 2016
TIK.DEV0705,MANAJER PEMROGRAMAN APLIKASI (APPLICATIONS PROGRAMMING MANAGER),J.620100.031.01,Melakukan Profiling Program,Berlaku,Nomor 282 Tahun 2016
TIK.DEV0706,MANAJER INSINYUR PERANGKAT LUNAK (SOFTWARE ENGINEER MANAGER),BSBMGT608C,Manage Innovation and Continuous Improvement (Mengelola Inovasi dan Peningkatan Berkelanjutan),Berlaku,Nomor 22 Tahun 2019
TIK.DEV0706,MANAJER INSINYUR PERANGKAT LUNAK (SOFTWARE ENGINEER MANAGER),ICAPMG501A,Manage IT Projects (Mengelola Proyek TI),Berlaku,Nomor 22 Tahun 2019
TIK.DEV0706,MANAJER INSINYUR PERANGKAT LUNAK (SOFTWARE ENGINEER MANAGER),J.62SAD00.011.1,Merancang Struktur Perangkat Lunak,Berlaku,Nomor 44 Tahun 2017
TIK.DEV0706,MANAJER INSINYUR PERANGKAT LUNAK (SOFTWARE ENGINEER MANAGER),J.62SAD00.012.1,Merancang Komponen Perangkat Lunak,Berlaku,Nomor 44 Tahun 2017
TIK.DEV0706,MANAJER INSINYUR PERANGKAT LUNAK (SOFTWARE ENGINEER MANAGER),ICADBS501A,Monitor and Improve Knowledge Management System,Berlaku,Nomor 22 Tahun 2019
TIK.DEV0706,MANAJER INSINYUR PERANGKAT LUNAK (SOFTWARE ENGINEER MANAGER),ICADBS602A,Develop a Knowledge Management Strategy (Mengembangkan Strategi Manajemen Pengetahuan),Berlaku,Nomor 22 Tahun 2019
TIK.DEV0706,MANAJER INSINYUR PERANGKAT LUNAK (SOFTWARE ENGINEER MANAGER),ICAICT401A,Determine and Confirm Client Business Requirements (Menentukan dan Konfirmasikan Persyaratan Bisnis Klien),Berlaku,Nomor 22 Tahun 2019
TIK.DEV0706,MANAJER INSINYUR PERANGKAT LUNAK (SOFTWARE ENGINEER MANAGER),ICAICT402A,Determine Project Specifications and Secure Client Agreement (Menenentukan Spesifikasi Proyek dan Mengamankan Perjanjian Klien),Berlaku,Nomor 22 Tahun 2019
TIK.DEV0707,PENGEMBANG FULL STACK (FULL STACK DEVELOPER),J.62SAD00.008.1,Membuat Spesifikasi Kebutuhan Perangkat Lunak,Berlaku,Nomor 44 Tahun 2017
TIK.DEV0707,PENGEMBANG FULL STACK (FULL STACK DEVELOPER),J.62SAD00.011.1,Merancang Struktur Perangkat Lunak,Berlaku,Nomor 44 Tahun 2017
TIK.DEV0707,PENGEMBANG FULL STACK (FULL STACK DEVELOPER),J.62SAD00.009.1,Meninjau Ulang (review) Kebutuhan Perangkat Lunak,Berlaku,Nomor 44 Tahun 2017
TIK.DEV0707,PENGEMBANG FULL STACK (FULL STACK DEVELOPER),J.62SAD00.010.01,Melakukan Validasi Spesifikasi dan Menyusun Uji Penerimaan Pengguna Kebutuhan Perangkat Lunak,,J.
TIK.DEV0707,PENGEMBANG FULL STACK (FULL STACK DEVELOPER),J.620100.013.01,Menerapkan Pemecahan Permasalahan Menjadi Subrutin,Berlaku,Nomor 282 Tahun 2016
TIK.DEV0707,PENGEMBANG FULL STACK (FULL STACK DEVELOPER),J.62SAD00.006.1,Membuat Kebutuhan Dokumentasi Spesifikasi Perangkat Lunak,Berlaku,Nomor 44 Tahun 2017
TIK.DEV0707,PENGEMBANG FULL STACK (FULL STACK DEVELOPER),J.620100.021.02,Menerapkan Akses Basis Data,Berlaku,Nomor 282 Tahun 2016
TIK.DEV0707,PENGEMBANG FULL STACK (FULL STACK DEVELOPER),M.702090.007.01,Mengelola Komunikasi Proyek (Project Communication Management),Berlaku,Nomor 349 Tahun 2014
TIK.DEV0707,PENGEMBANG FULL STACK (FULL STACK DEVELOPER),J.620100.019.02,Menggunakan Library atau Komponen Pre-Existing,Berlaku,Nomor 282 Tahun 2016
TIK.DEV0707,PENGEMBANG FULL STACK (FULL STACK DEVELOPER),J.620100.010.02,"Menerapkan Perintah Eksekusi Bahasa Pemrograman Berbasis Teks, Grafik, dan Multimedia",Berlaku,Nomor 282 Tahun 2016
TIK.DEV0707,PENGEMBANG FULL STACK (FULL STACK DEVELOPER),J.620100.005.01,Mengimplementasikan User Interface,Berlaku,Nomor 282 Tahun 2016
TIK.DEV0707,PENGEMBANG FULL STACK (FULL STACK DEVELOPER),J.620100.025.02,Melakukan Debugging,Berlaku,Nomor 282 Tahun 2016
TIK.DEV0707,PENGEMBANG FULL STACK (FULL STACK DEVELOPER),J.620100.033.02,Melaksanakan Pengujian Unit Program,Berlaku,Nomor 282 Tahun 2016
TIK.DEV0708,INSINYUR PERANGKAT LUNAK (SOFTWARE ENGINEER),J.62SAD00.002.1,Melakukan Identifikasi Sumber Kebutuhan Perangkat Lunak,Berlaku,Nomor 44 Tahun 2017
TIK.DEV0708,INSINYUR PERANGKAT LUNAK (SOFTWARE ENGINEER),J.62SAD00.004.1,Melakukan Klasifikasi dan Alokasi Kebutuhan Perangkat Lunak,Berlaku,Nomor 44 Tahun 2017
TIK.DEV0708,INSINYUR PERANGKAT LUNAK (SOFTWARE ENGINEER),J.62SAD00.006.1,Membuat Kebutuhan Dokumentasi Spesifikasi Perangkat Lunak,Berlaku,Nomor 44 Tahun 2017
TIK.DEV0708,INSINYUR PERANGKAT LUNAK (SOFTWARE ENGINEER),J.62SAD00.008.1,Membuat Spesifikasi Kebutuhan Perangkat Lunak,Berlaku,Nomor 44 Tahun 2017
TIK.DEV0708,INSINYUR PERANGKAT LUNAK (SOFTWARE ENGINEER),J.62SAD00.011.1,Merancang Struktur Perangkat Lunak,Berlaku,Nomor 44 Tahun 2017
TIK.DEV0708,INSINYUR PERANGKAT LUNAK (SOFTWARE ENGINEER),J.62SAD00.012.1,Merancang Komponen Perangkat Lunak,Berlaku,Nomor 44 Tahun 2017
TIK.DEV0709,INSINYUR PENJAMINAN KUALITAS PERANGKAT LUNAK (SOFTWARE QA ENGINEER),J.62SAD00.001.1,Mengaplikasikan Metodologi Pengembangan Perangkat Lunak,Berlaku,Nomor 44 Tahun 2017
TIK.DEV0709,INSINYUR PENJAMINAN KUALITAS PERANGKAT LUNAK (SOFTWARE QA ENGINEER),J.63HOS00.001.2,Menentukan Terminologi dan Konsep Cloud Computing,Berlaku,Nomor 102 Tahun 2023
TIK.DEV0709,INSINYUR PENJAMINAN KUALITAS PERANGKAT LUNAK (SOFTWARE QA ENGINEER),J.62SQA00.001.1,Menentukan Metode/ Framework,Berlaku,Nomor 47 Tahun 2017
TIK.DEV0709,INSINYUR PENJAMINAN KUALITAS PERANGKAT LUNAK (SOFTWARE QA ENGINEER),J.62SQA00.002.1,Menentukan Lingkup Quality Assurance untuk Perangkat Lunak,Berlaku,Nomor 47 Tahun 2017
TIK.DEV0709,INSINYUR PENJAMINAN KUALITAS PERANGKAT LUNAK (SOFTWARE QA ENGINEER),J.62SQA00.003.1,Menentukan Lingkup Quality Assurance untuk Proses Pengembangan Perangkat Lunak,Berlaku,Nomor 47 Tahun 2017
TIK.DEV0709,INSINYUR PENJAMINAN KUALITAS PERANGKAT LUNAK (SOFTWARE QA ENGINEER),J.62SQA00.004.1,Mengelola Risiko Penjaminan Kualitas,Berlaku,Nomor 47 Tahun 2017
TIK.DEV0709,INSINYUR PENJAMINAN KUALITAS PERANGKAT LUNAK (SOFTWARE QA ENGINEER),J.62SQA00.005.1,Mendefiniskan Sumber Daya yang Dibutuhkan,Berlaku,Nomor 47 Tahun 2017
TIK.DEV0709,INSINYUR PENJAMINAN KUALITAS PERANGKAT LUNAK (SOFTWARE QA ENGINEER),J.62SQA00.006.1,Mengintegrasikan Penjaminan Kualitas ke Dalam Organisasi Pengembang,Berlaku,Nomor 47 Tahun 2017
TIK.DEV0709,INSINYUR PENJAMINAN KUALITAS PERANGKAT LUNAK (SOFTWARE QA ENGINEER),J.62SQA00.007.1,Memverifikasi Pelaksanaan Tahapan Pengembangan Perangkat Lunak,Berlaku,Nomor 47 Tahun 2017
TIK.DEV0709,INSINYUR PENJAMINAN KUALITAS PERANGKAT LUNAK (SOFTWARE QA ENGINEER),J.62SQA00.008.1,Melakukan Pengujian Kualitas Perangkat Lunak Secara Manual,Berlaku,Nomor 47 Tahun 2017
TIK.DEV0709,INSINYUR PENJAMINAN KUALITAS PERANGKAT LUNAK (SOFTWARE QA ENGINEER),J.62SQA00.009.1,Melakukan Pengujian Kualitas Perangkat Lunak Secara Otomatis,Berlaku,Nomor 47 Tahun 2017
TIK.DEV0709,INSINYUR PENJAMINAN KUALITAS PERANGKAT LUNAK (SOFTWARE QA ENGINEER),J.62SQA00.010.1,Melakukan Pengujian Keamanan Perangkat Lunak,Berlaku,Nomor 47 Tahun 2017
TIK.DEV0709,INSINYUR PENJAMINAN KUALITAS PERANGKAT LUNAK (SOFTWARE QA ENGINEER),J.62SQA00.011.1,Menyusun Rekomendasi Penjaminan Kualitas Perangkat Lunak bagi Stakeholder,Berlaku,Nomor 47 Tahun 2017
TIK.DEV0709,INSINYUR PENJAMINAN KUALITAS PERANGKAT LUNAK (SOFTWARE QA ENGINEER),J.62SQA00.012.1,Mengevaluasi Pelaksanaan Penjaminan Kualitas Perangkat Lunak,Berlaku,Nomor 47 Tahun 2017
TIK.DEV0710,INSINYUR PERSYARATAN (REQUIREMENTS ENGINEER),M.702090.007.01,Mengelola Komunikasi Proyek (Project Communication Management),Berlaku,Nomor 349 Tahun 2014
TIK.DEV0710,INSINYUR PERSYARATAN (REQUIREMENTS ENGINEER),J.62SAD00.001.1,Mengaplikasikan Metodologi Pengembangan Perangkat Lunak,Berlaku,Nomor 44 Tahun 2017
TIK.DEV0710,INSINYUR PERSYARATAN (REQUIREMENTS ENGINEER),J.62SAD00.002.1,Melakukan identifikasi sumber kebutuhan,Berlaku,Nomor 44 Tahun 2017
TIK.DEV0710,INSINYUR PERSYARATAN (REQUIREMENTS ENGINEER),J.62SAD00.003.1,Menentukan Teknik Elisitasi yang Sesuai,Berlaku,Nomor 44 Tahun 2017
TIK.DEV0710,INSINYUR PERSYARATAN (REQUIREMENTS ENGINEER),J.62SAD00.004.1,Melakukan Klasifikasi dan Alokasi Kebutuhan Perangkat Lunak,Berlaku,Nomor 44 Tahun 2017
TIK.DEV0710,INSINYUR PERSYARATAN (REQUIREMENTS ENGINEER),J.62SAD00.005.1,Melakukan Negosiasi Kebutuhan Perangkat Lunak,Berlaku,Nomor 44 Tahun 2017
TIK.DEV0710,INSINYUR PERSYARATAN (REQUIREMENTS ENGINEER),J.62SAD00.006.1,Membuat Kebutuhan Dokumentasi Spesifikasi Perangkat Lunak,Berlaku,Nomor 44 Tahun 2017
TIK.DEV0710,INSINYUR PERSYARATAN (REQUIREMENTS ENGINEER),J.62SAD00.007.1,Menyusun Spesifikasi Kebutuhan Sistem,Berlaku,Nomor 44 Tahun 2017
TIK.DEV0710,INSINYUR PERSYARATAN (REQUIREMENTS ENGINEER),J.62SAD00.008.1,Membuat Spesifikasi Kebutuhan Perangkat Lunak,Berlaku,Nomor 44 Tahun 2017
TIK.DEV0710,INSINYUR PERSYARATAN (REQUIREMENTS ENGINEER),J.62SAD00.009.1,Meninjau Ulang (review) Kebutuhan Perangkat Lunak,Berlaku,Nomor 44 Tahun 2017
TIK.DEV0710,INSINYUR PERSYARATAN (REQUIREMENTS ENGINEER),J.62SAD00.010.1,Melakukan Validasi Spesifikasi dan Menyusun Uji Penerimaan Pengguna Kebutuhan Perangkat Lunak,Berlaku,Nomor 44 Tahun 2017
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),J.620100.001.01,Menganalisis Tools,Berlaku,Nomor 282 Tahun 2016
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),J.620100.002.01,Menganalisis Skalabilitas Perangkat Lunak,Berlaku,Nomor 282 Tahun 2016
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),J.620100.003.01,"Melakukan Identifikasi Library, Komponen atau Framework yang Diperlukan",Berlaku,Nomor 282 Tahun 2016
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),J.620100.004.02,Menggunakan Struktur Data,Berlaku,Nomor 282 Tahun 2016
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),J.620100.006.01,Merancang User Experience,Berlaku,Nomor 282 Tahun 2016
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),J.620100.007.01,Mengimplementasikan Rancangan Entitas dan Keterkaitan antar Entitas,Berlaku,Nomor 282 Tahun 2016
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),J.620100.008.01,Merancang Arsitektur Aplikasi,Berlaku,Nomor 282 Tahun 2016
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),J.620100.016.01,Menulis Kode dengan Prinsip sesuai Guidelines dan Best Practices,Berlaku,Nomor 282 Tahun 2016
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),J.620100.022.02,Mengimplementasikan Algoritma Pemrograman,Berlaku,Nomor 282 Tahun 2016
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),J.620100.023.02,Membuat Dokumen Kode Program,Berlaku,Nomor 282 Tahun 2016
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),J.620100.027.01,Mengimplementasikan Network Programming,Berlaku,Nomor 282 Tahun 2016
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),J.620100.028.02,Menerapkan Pemrograman Real Time,Berlaku,Nomor 282 Tahun 2016
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),J.620100.029.02,Menerapkan Pemrograman Paralel,Berlaku,Nomor 282 Tahun 2016
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),J.620100.030.02,Menerapkan Pemrograman Multimedia,Berlaku,Nomor 282 Tahun 2016
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),J.620100.031.01,Melakukan Profiling Program,Berlaku,Nomor 282 Tahun 2016
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),J.620100.032.01,Melakukan Code Review,Berlaku,Nomor 282 Tahun 2016
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),J.620100.034.02,Melaksanakan Pengujian Integrasi Program,Berlaku,Nomor 282 Tahun 2016
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),J.620100.035.02,Melaksanakan Pengujian Program Sistem,Berlaku,Nomor 282 Tahun 2016
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),J.620100.036.02,Melaksanakan Pengujian Kode Program Secara Statis,Berlaku,Nomor 282 Tahun 2016
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),J.620100.037.01,Melaksanakan Stress Test,Berlaku,Nomor 282 Tahun 2016
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),J.620100.038.01,Melaksanakan Pengujian Oleh Pengguna (UAT),Berlaku,Nomor 282 Tahun 2016
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),J.620100.039.02,Memberikan Petunjuk Teknis Kepada Pelanggan,Berlaku,Nomor 282 Tahun 2016
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),J.620100.041.01,Melaksanakan Cutover Aplikasi,Berlaku,Nomor 282 Tahun 2016
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),J.620100.043.01,Menganalisis Dampak Perubahan Terhadap Aplikasi,Berlaku,Nomor 282 Tahun 2016
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),J.620100.044.01,Menerapkan Alert Notification Jika Aplikasi Bermasalah,Berlaku,Nomor 282 Tahun 2016
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),J.620100.045.01,Melakukan Pemantauan Resource yang Digunakan Aplikasi,Berlaku,Nomor 282 Tahun 2016
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),J.620100.047.01,Melakukan Pembaharuan Perangkat Lunak,Berlaku,Nomor 282 Tahun 2016
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),M.702090.001.01,Mengelola Proyek Secara Terintegrasi (Project Integration Management),Berlaku,Nomor 349 Tahun 2014
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),M.702090.002.01,Mengelola Ruang Lingkup Proyek (Project Scope Management),Berlaku,Nomor 349 Tahun 2014
TIK.DEV0701,MANAJER PENGEMBANGAN SISTEM (SYSTEM DEVELOPMENT MANAGER),TIK.SM03.001.01,Menentukan Arsitektur Perangkat Keras,Dicabut,Nomor 610 Tahun 2012
TIK.DEV0711,MANAJER ARSITEKTUR INFORMASI (INFORMATION ARCHITECTURE MANAGER),ICAPMG603A,Manage IT Project Planning (Mengelola Perencanaan Proyek TI),Berlaku,Nomor 22 Tahun 2019
TIK.DEV0711,MANAJER ARSITEKTUR INFORMASI (INFORMATION ARCHITECTURE MANAGER),ICADBS501A,Monitor and Improve Knowledge Management System,Berlaku,Nomor 22 Tahun 2019
TIK.DEV0711,MANAJER ARSITEKTUR INFORMASI (INFORMATION ARCHITECTURE MANAGER),ICADBS602A,Develop a Knowledge Management Strategy (Mengembangkan Strategi Manajemen Pengetahuan),Berlaku,Nomor 22 Tahun 2019
TIK.DEV0711,MANAJER ARSITEKTUR INFORMASI (INFORMATION ARCHITECTURE MANAGER),ICAICT509A,Gather Data To Identify Business Requirements (Mengumpulkan Data untuk Mengidentifikasi Persyaratan Bisnis),Berlaku,Nomor 22 Tahun 2019
TIK.DEV0711,MANAJER ARSITEKTUR INFORMASI (INFORMATION ARCHITECTURE MANAGER),J.620200.003.01,"Menetapkan Baseline dan Target Arsitektur Bisnis, serta Kesenjangan antara Baseline dan Target Arsitektur Bisnis",Berlaku,Nomor 90 Tahun 2015
TIK.DEV0711,MANAJER ARSITEKTUR INFORMASI (INFORMATION ARCHITECTURE MANAGER),J.620200.005.01,Mengevaluasi Artefak Arsitektur dalam Architecture Landscape yang Terkait dengan Arsitektur Bisnis,Berlaku,Nomor 90 Tahun 2015
TIK.DEV0711,MANAJER ARSITEKTUR INFORMASI (INFORMATION ARCHITECTURE MANAGER),J.620200.008.01,Menyusun Roadmap dan Komponen Arsitektur Data,Berlaku,Nomor 90 Tahun 2015
TIK.DEV0711,MANAJER ARSITEKTUR INFORMASI (INFORMATION ARCHITECTURE MANAGER),J.620200.011.01,Menyusun Roadmap dan Komponen Arsitektur Aplikasi,Berlaku,Nomor 90 Tahun 2015
TIK.DEV0711,MANAJER ARSITEKTUR INFORMASI (INFORMATION ARCHITECTURE MANAGER),J.620200.014.01,Menyusun Roadmap dan Komponen Arsitektur Teknologi,Berlaku,Nomor 90 Tahun 2015
TIK.DEV0711,MANAJER ARSITEKTUR INFORMASI (INFORMATION ARCHITECTURE MANAGER),TIK.SM02.006.01,Mengelola Instalasi Dan Pemeliharaan Sistem Perangkat Lunak,Dicabut,Nomor 610 Tahun 2012
TIK.DEV0711,MANAJER ARSITEKTUR INFORMASI (INFORMATION ARCHITECTURE MANAGER),TIK.SM01.004.01,Melakukan Komunikasi Di Tempat Kerja,Dicabut,Nomor 610 Tahun 2012
TIK.DEV0711,MANAJER ARSITEKTUR INFORMASI (INFORMATION ARCHITECTURE MANAGER),TIK.SM02.009.01,Memberikan Pelayanan Produk-Produk Teknologi Informasi Sesuai Kebutuhan Bisnis,Dicabut,Nomor 610 Tahun 2012
TIK.DEV0712,MANAJER DUKUNGAN TI (IT SUPPORT MANAGER),BSBMGT608C,Manage Innovation and Continuous Improvement (Mengelola Inovasi dan Peningkatan Berkelanjutan),Berlaku,Nomor 22 Tahun 2019
TIK.DEV0712,MANAJER DUKUNGAN TI (IT SUPPORT MANAGER),ICAICT706A,Direct Outsourced ICT Services (Memimpin Layanan ICT Yang Dialihdayakan),Berlaku,Nomor 22 Tahun 2019
TIK.DEV0712,MANAJER DUKUNGAN TI (IT SUPPORT MANAGER),BSBIPR301A,Comply with Organisational Requirements for Protection and Use of Intellectual Property (Mematuhi Persyaratan Organisasi untuk Perlindungan dan Penggunaan Kekayaan Intelektual),Berlaku,Nomor 22 Tahun 2019
TIK.DEV0712,MANAJER DUKUNGAN TI (IT SUPPORT MANAGER),BSBREL701A,Develop and cultivate collaborative partnerships and relationships (Mengembangkan dan Membina Kemitraan dan Hubungan Kolaboratif),Berlaku,Nomor 22 Tahun 2019
TIK.DEV0712,MANAJER DUKUNGAN TI (IT SUPPORT MANAGER),BSBSMB407,Manage a Small Team (Mengelola Tim Kecil),Berlaku,Nomor 22 Tahun 2019
